Trial 1, Try 1 complete: Score = -1003
Trial 2, Try 1 complete: Score = -1018
Trial 2, Try 2 complete: Score = -1009
Trial 2, Try 3 complete: Score = -1009
Trial 2, Try 4 complete: Score = -1009
Trial 2, Try 5 complete: Score = -1009
Trial 2, Try 6 complete: Score = -1009
Trial 2, Try 7 complete: Score = -1009
Trial 2, Try 8 complete: Score = -1009
Trial 2, Try 9 complete: Score = -1009
Trial 2, Try 10 complete: Score = -1009
Trial 5, Try 1 complete: Score = -1002
Trial 5, Try 2 complete: Score = -1009
Trial 5, Try 3 complete: Score = -1002
Trial 6, Try 1 complete: Score = -1009
Trial 6, Try 2 complete: Score = -1009
Trial 6, Try 3 complete: Score = -1009
Trial 6, Try 4 complete: Score = -1009
Trial 6, Try 5 complete: Score = -1009
Trial 6, Try 6 complete: Score = -1009
Trial 6, Try 7 complete: Score = -1009
Trial 6, Try 8 complete: Score = -1009
Trial 6, Try 9 complete: Score = -1009
Trial 6, Try 10 complete: Score = -1009
Trial 7, Try 1 complete: Score = -1012
Trial 7, Try 2 complete: Score = -1009
Trial 7, Try 3 complete: Score = -1012
Trial 7, Try 4 complete: Score = -1012
Trial 8, Try 1 complete: Score = -1004
Trial 9, Try 1 complete: Score = -1012
Trial 10, Try 1 complete: Score = -1007
Trial 10, Try 2 complete: Score = -1003
Trial 12, Try 1 complete: Score = -1008
Trial 13, Try 1 complete: Score = -1012
Trial 13, Try 2 complete: Score = -1022
Trial 13, Try 3 complete: Score = -1009
Trial 13, Try 4 complete: Score = -1009
Trial 13, Try 5 complete: Score = -1009
Trial 13, Try 6 complete: Score = -1009
Trial 13, Try 7 complete: Score = -1009
Trial 13, Try 8 complete: Score = -1009
Trial 13, Try 9 complete: Score = -1009
Trial 13, Try 10 complete: Score = -1009
Trial 14, Try 1 complete: Score = -1014
Trial 14, Try 2 complete: Score = -1001
Trial 15, Try 1 complete: Score = -1016
Trial 15, Try 2 complete: Score = -1004
Trial 15, Try 3 complete: Score = -1009
Trial 15, Try 4 complete: Score = -1000
Trial 15, Try 5 complete: Score = -1000
Trial 15, Try 6 complete: Score = -1000
Trial 15, Try 7 complete: Score = -1000
Trial 15, Try 8 complete: Score = -1000
Trial 15, Try 9 complete: Score = -1000
Trial 15, Try 10 complete: Score = -1000
Trial 16, Try 1 complete: Score = -1002
Trial 19, Try 1 complete: Score = -1022
Trial 22, Try 1 complete: Score = -1018
Trial 22, Try 2 complete: Score = -1013
Trial 22, Try 3 complete: Score = -1016
Trial 22, Try 4 complete: Score = -1009
Trial 22, Try 5 complete: Score = -1000
Trial 22, Try 6 complete: Score = -1000
Trial 22, Try 7 complete: Score = -1000
Trial 22, Try 8 complete: Score = -1000
Trial 22, Try 9 complete: Score = -1000
Trial 22, Try 10 complete: Score = -1000
Trial 23, Try 1 complete: Score = -1013
Trial 23, Try 2 complete: Score = -1003
Trial 23, Try 3 complete: Score = -1013
Trial 23, Try 4 complete: Score = -1013
Trial 23, Try 5 complete: Score = -1013
Trial 23, Try 6 complete: Score = -1013
Trial 23, Try 7 complete: Score = -1013
Trial 23, Try 8 complete: Score = -1013
Trial 23, Try 9 complete: Score = -1013
Trial 23, Try 10 complete: Score = -1013
